Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
1,25.079273223876953,0.8523560166358948,0.012964833527803421,1.0
2,0.05210672691464424,0.98219895362854,0.2786729633808136,0.9439252614974976
3,0.07843209058046341,0.9780104756355286,0.009558403864502907,1.0
4,0.08664964139461517,0.9664921760559082,0.04973660781979561,0.9906542301177979
5,0.0362403579056263,0.9863874316215515,0.019172580912709236,1.0
6,0.02748996764421463,0.990575909614563,0.004027339164167643,1.0
7,0.003948022611439228,0.9989528656005859,0.005910930689424276,1.0
8,0.0059297108091413975,0.9979057312011719,0.003424649126827717,1.0
9,0.0032804016955196857,0.9989528656005859,0.003510155715048313,1.0
10,0.0007459321059286594,1.0,0.0007167667499743402,1.0
