Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
1,24.530696868896484,0.8366492390632629,0.16479891538619995,0.9626168012619019
2,0.0644867792725563,0.9832460880279541,0.1379161775112152,0.9719626307487488
3,0.04384273663163185,0.9832460880279541,0.10650686174631119,0.9719626307487488
4,0.015233663842082024,0.991623044013977,0.10614647716283798,0.9719626307487488
5,0.008905463851988316,0.9968586564064026,0.03983096405863762,0.9813084006309509
6,0.013945357874035835,0.9926701784133911,0.042840708047151566,0.9813084006309509
7,0.007086433935910463,0.9968586564064026,0.08671293407678604,0.9719626307487488
8,0.0028751420322805643,0.9989528656005859,0.0486290343105793,0.9813084006309509
9,0.0009633348090574145,1.0,0.07517333328723907,0.9813084006309509
10,0.0006705303094349802,1.0,0.0649760514497757,0.9813084006309509
